IP-08MATAG,1
IP-08bAN1E,2
IP-08bAN1G,2
IP-08bAN2E,3
IP-08bAN2G,3
IP-08bAN3E,4
IP-08bAN3G,4
IP-08bNM1E,3
IP-08bNM1G,3
IP-08bNM2EG,4
IP-08bMOALEG,5
IP-08DM1E,1
IP-08DM1G,1
IP-08bDM2E,2
IP-08bDM2G,2
IP-08LAE,1
IP-08LAG,1
IP-08bVSZE,5
IP-08bVSZG,5
IP-08bLSZEE,4
IP-08bLSZEG,4
IP-08bAA1E,3
IP-08bAA1G,3
IP-08bAA2E,4
IP-08bAA2G,4
IP-08bFNYE,2
IP-08bFNYG,2
IP-08bMIAE,6
IP-08PAEG,1
IP-08SZGAEG,1
IP-08bPROGEG,2
IP-08bPMA1E,2
IP-08bPMA1G,2
IP-08bPMA2E,3
IP-08bPMA2G,3
IP-08bPNY1EG,2
IP-08bPNY2EG,3
IP-08bFUNPEG,2
IP-08bSZTE,3
IP-08aFPE,6
IP-08aFPG,6
IP-08bOEALKEG,3
IP-08bEVALK1EG,4
IP-08bEVALK2EG,5
IP-08bWAFEG,6
IP-08bOPREG,5
IP-08bSZHE,5
IP-08bSZHG,5
IP-08bORSIE,5
IP-08bORSIG,5
IP-08bAB1E,4
IP-08bAB1G,4
IP-08bAB2E,5
IP-08bAB2G,5
