IP-08MATAG,1
IP-08DM1E,1
IP-08DM1G,1
IP-08LAE,1
IP-08LAG,1
IP-08PAEG,1
IP-08SZGAEG,1
IP-08cAN1E,2
IP-08cAN1G,2
IP-08cDM2E,2
IP-08cDM2G,2
IP-08cFNYE,2
IP-08cFNYG,2
IP-08cPROGEG,2
IP-08cSCNYE,2
IP-08cAN2E,3
IP-08cAN2G,3
IP-08cNM1E,3
IP-08cNM1G,3
IP-08cLSZEE,3
IP-08cLSZEG,3
IP-08cAA1E,3
IP-08cAA1G,3
IP-08cPNY2E,3
IP-08cPROGT1EG,3
IP-08cAN3EG,4
IP-08cNM2G_14,4
IP-08cAA2E,4
IP-08cAA2G,4
IP-08cPNY1EG,4
IP-08cPROGT2EG,4
IP-08cAB1E,4
IP-08cAB1G,4
IP-08cSZGE,4
IP-08cSZGG,4
IP-08cMODALG,5
IP-08cVSZE,5
IP-08cVSZG,5
IP-08cFPE,5
IP-08cFPG,5
IP-08cALKG,5
IP-08cOPREG,5
IP-08cSZHE,5
IP-08cSZHG,5
IP-08cAB2E,5
IP-08cAB2G,5
IP-08cMIAE,6
IP-08cPRJG,6
IP-08cORE,6
IP-08cORG,6
